date,mkt_rf,rf,,mkt_rf,rf,,
12/30/2022,-0.0641,0.0033,193410,-1.66,0.01,193410,
1/31/2023,0.0664,0.0035,193411,8.33,0.01,193411,
2/28/2023,-0.0259,0.0034,193412,0.36,0.01,193412,
3/31/2023,0.0251,0.0036,193501,-3.45,0.01,193501,
4/29/2023,0.0061,0.0035,193502,-1.94,0.02,193502,
5/31/2023,0.0035,0.0036,193503,-3.68,0.01,193503,
6/30/2023,0.0647,0.004,193504,9.06,0.01,193504,
7/29/2023,0.0321,0.0045,193505,3.47,0.01,193505,
8/31/2023,-0.0239,0.0045,193506,5.93,0.01,193506,
9/30/2023,-0.0524,0.0043,193507,7.51,0.01,193507,
10/31/2023,-0.0318,0.0047,193508,2.65,0.01,193508,
11/30/2023,0.0883,0.0044,193509,2.63,0.01,193509,
12/30/2023,0.0487,0.0043,193510,7.03,0.01,193510,
1/31/2024,0.007,0.0047,193511,4.88,0.02,193511,
2/28/2024,0.0507,0.0042,193512,4.56,0.01,193512,
3/30/2024,0.0283,0.0043,193601,6.89,0.01,193601,
4/28/2024,-0.0467,0.0047,193602,2.49,0.01,193602,
5/30/2024,0.0434,0.0044,193603,0.99,0.02,193603,
6/29/2024,0.0277,0.0041,193604,-8.14,0.02,193604,
7/28/2024,0.0124,0.0045,193605,5.19,0.02,193605,
8/30/2024,0.0161,0.0048,193606,2.4,0.03,193606,
,,,193607,6.67,0.01,193607,
,,,193608,0.99,0.02,193608,
,,,193609,0.98,0.01,193609,
,,,193610,7.12,0.02,193610,
,,,193611,3.27,0.01,193611,
,,,193612,0.21,0,193612,
,,,193701,3.35,0.01,193701,
,,,193702,1.09,0.02,193702,
,,,193703,-0.27,0.01,193703,
,,,193704,-7.36,0.03,193704,
,,,193705,-0.83,0.06,193705,
,,,193706,-4.21,0.03,193706,
,,,193707,8.91,0.03,193707,
,,,193708,-4.86,0.02,193708,
,,,193709,-13.61,0.04,193709,
,,,193710,-9.61,0.02,193710,
,,,193711,-8.31,0.02,193711,
,,,193712,-4.24,0,193712,
,,,193801,0.49,0,193801,
,,,193802,5.84,0,193802,
,,,193803,-23.82,-0.01,193803,
,,,193804,14.51,0.01,193804,
,,,193805,-3.83,0,193805,
,,,193806,23.87,0,193806,
,,,193807,7.34,-0.01,193807,
,,,193808,-2.67,0,193808,
,,,193809,0.81,0.02,193809,
,,,193810,7.8,0.01,193810,
,,,193811,-1.72,-0.06,193811,
,,,193812,4.19,0,193812,
,,,193901,-5.96,-0.01,193901,
,,,193902,3.51,0.01,193902,
,,,193903,-11.99,-0.01,193903,
,,,193904,-0.18,0,193904,
,,,193905,6.8,0.01,193905,
,,,193906,-5.31,0.01,193906,
,,,193907,10.24,0,193907,
,,,193908,-6.68,-0.01,193908,
,,,193909,16.88,0.01,193909,
,,,193910,-0.53,0,193910,
,,,193911,-3.62,0,193911,
,,,193912,3.03,0,193912,
,,,194001,-2.41,0,194001,
,,,194002,1.44,0,194002,
,,,194003,2.05,0,194003,
,,,194004,0.22,0,194004,
,,,194005,-21.95,-0.02,194005,
,,,194006,6.67,0,194006,
,,,194007,3.16,0.01,194007,
,,,194008,2.19,-0.01,194008,
,,,194009,2.39,0,194009,
,,,194010,3.02,0,194010,
,,,194011,-1.61,0,194011,
,,,194012,0.69,0,194012,
,,,194101,-4.17,-0.01,194101,
,,,194102,-1.43,-0.01,194102,
,,,194103,0.84,0.01,194103,
,,,194104,-5.46,-0.01,194104,
,,,194105,1.39,0,194105,
,,,194106,5.83,0,194106,
,,,194107,5.87,0.03,194107,
,,,194108,-0.17,0.01,194108,
,,,194109,-0.87,0.01,194109,
,,,194110,-5.25,0,194110,
,,,194111,-1.92,0,194111,
,,,194112,-4.87,0.01,194112,
,,,194201,0.79,0.02,194201,
,,,194202,-2.46,0.01,194202,
,,,194203,-6.58,0.01,194203,
,,,194204,-4.37,0.01,194204,
,,,194205,5.94,0.03,194205,
,,,194206,2.69,0.02,194206,
,,,194207,3.51,0.03,194207,
,,,194208,1.8,0.03,194208,
,,,194209,2.61,0.03,194209,
,,,194210,6.82,0.03,194210,
,,,194211,0.15,0.03,194211,
,,,194212,5.12,0.03,194212,
,,,194301,7.13,0.03,194301,
,,,194302,6.15,0.03,194302,
,,,194303,6.01,0.03,194303,
,,,194304,0.81,0.03,194304,
,,,194305,5.74,0.03,194305,
,,,194306,1.82,0.03,194306,
,,,194307,-4.77,0.03,194307,
,,,194308,1.3,0.03,194308,
,,,194309,2.4,0.03,194309,
,,,194310,-1.15,0.03,194310,
,,,194311,-5.91,0.03,194311,
,,,194312,6.36,0.03,194312,
,,,194401,1.74,0.03,194401,
,,,194402,0.37,0.03,194402,
,,,194403,2.46,0.02,194403,
,,,194404,-1.69,0.03,194404,
,,,194405,5.07,0.03,194405,
,,,194406,5.49,0.03,194406,
,,,194407,-1.49,0.03,194407,
,,,194408,1.57,0.03,194408,
,,,194409,0.01,0.02,194409,
,,,194410,0.16,0.03,194410,
,,,194411,1.71,0.03,194411,
,,,194412,4.03,0.02,194412,
,,,194501,2.01,0.03,194501,
,,,194502,6.23,0.02,194502,
,,,194503,-3.89,0.02,194503,
,,,194504,7.8,0.03,194504,
,,,194505,1.73,0.03,194505,
,,,194506,0.39,0.02,194506,
,,,194507,-2.17,0.03,194507,
,,,194508,6.2,0.03,194508,
,,,194509,4.77,0.03,194509,
,,,194510,3.89,0.03,194510,
,,,194511,5.39,0.02,194511,
,,,194512,1.2,0.03,194512,
,,,194601,6.24,0.03,194601,
,,,194602,-5.83,0.03,194602,
,,,194603,5.87,0.03,194603,
,,,194604,4.23,0.03,194604,
,,,194605,3.93,0.03,194605,
,,,194606,-3.89,0.03,194606,
,,,194607,-2.69,0.03,194607,
,,,194608,-6.44,0.03,194608,
,,,194609,-10.17,0.03,194609,
,,,194610,-1.44,0.03,194610,
,,,194611,-0.01,0.03,194611,
,,,194612,4.96,0.03,194612,
,,,194701,1.25,0.03,194701,
,,,194702,-1.08,0.03,194702,
,,,194703,-1.67,0.03,194703,
,,,194704,-4.8,0.03,194704,
,,,194705,-0.97,0.03,194705,
,,,194706,5.29,0.03,194706,
,,,194707,4.14,0.03,194707,
,,,194708,-1.74,0.03,194708,
,,,194709,-0.54,0.06,194709,
,,,194710,2.47,0.06,194710,
,,,194711,-1.97,0.06,194711,
,,,194712,3,0.08,194712,
,,,194801,-3.93,0.07,194801,
,,,194802,-4.38,0.07,194802,
,,,194803,8.07,0.09,194803,
,,,194804,3.65,0.08,194804,
,,,194805,7.3,0.08,194805,
,,,194806,-0.1,0.09,194806,
,,,194807,-5.09,0.08,194807,
,,,194808,0.25,0.09,194808,
,,,194809,-2.97,0.04,194809,
,,,194810,5.96,0.04,194810,
,,,194811,-9.3,0.04,194811,
,,,194812,3.26,0.04,194812,
,,,194901,0.23,0.1,194901,
,,,194902,-2.93,0.09,194902,
,,,194903,4.04,0.1,194903,
,,,194904,-1.87,0.09,194904,
,,,194905,-2.94,0.1,194905,
,,,194906,0.1,0.1,194906,
,,,194907,5.54,0.09,194907,
,,,194908,2.6,0.09,194908,
,,,194909,3.09,0.09,194909,
,,,194910,3.14,0.09,194910,
,,,194911,1.82,0.08,194911,
,,,194912,5.13,0.09,194912,
,,,195001,1.7,0.09,195001,
,,,195002,1.48,0.09,195002,
,,,195003,1.26,0.1,195003,
,,,195004,3.94,0.09,195004,
,,,195005,4.31,0.1,195005,
,,,195006,-5.94,0.1,195006,
,,,195007,1.36,0.1,195007,
,,,195008,4.85,0.1,195008,
,,,195009,4.81,0.1,195009,
,,,195010,-0.18,0.12,195010,
,,,195011,2.76,0.11,195011,
,,,195012,5.54,0.11,195012,
,,,195101,5.7,0.13,195101,
,,,195102,1.41,0.1,195102,
,,,195103,-2.15,0.11,195103,
,,,195104,4.86,0.13,195104,
,,,195105,-2.34,0.12,195105,
,,,195106,-2.62,0.12,195106,
,,,195107,6.94,0.13,195107,
,,,195108,4.27,0.13,195108,
,,,195109,0.7,0.12,195109,
,,,195110,-2.53,0.16,195110,
,,,195111,0.57,0.11,195111,
,,,195112,3.33,0.12,195112,
,,,195201,1.45,0.15,195201,
,,,195202,-2.62,0.12,195202,
,,,195203,4.44,0.11,195203,
,,,195204,-4.97,0.12,195204,
,,,195205,3.2,0.13,195205,
,,,195206,3.83,0.15,195206,
,,,195207,0.91,0.15,195207,
,,,195208,-0.76,0.15,195208,
,,,195209,-2.03,0.16,195209,
,,,195210,-0.66,0.14,195210,
,,,195211,5.94,0.1,195211,
,,,195212,2.93,0.16,195212,
,,,195301,-0.34,0.16,195301,
,,,195302,-0.27,0.14,195302,
,,,195303,-1.43,0.18,195303,
,,,195304,-2.83,0.16,195304,
,,,195305,0.52,0.17,195305,
,,,195306,-1.89,0.18,195306,
,,,195307,2.4,0.15,195307,
,,,195308,-4.52,0.17,195308,
,,,195309,0.2,0.16,195309,
,,,195310,4.6,0.13,195310,
,,,195311,2.83,0.08,195311,
,,,195312,0.03,0.13,195312,
,,,195401,5.13,0.11,195401,
,,,195402,1.67,0.07,195402,
,,,195403,3.65,0.08,195403,
,,,195404,4.27,0.09,195404,
,,,195405,3.09,0.05,195405,
,,,195406,1.07,0.06,195406,
,,,195407,4.99,0.05,195407,
,,,195408,-2.34,0.05,195408,
,,,195409,6.39,0.09,195409,
,,,195410,-1.67,0.07,195410,
,,,195411,9.38,0.06,195411,
,,,195412,5.48,0.08,195412,
,,,195501,0.6,0.08,195501,
,,,195502,3.02,0.09,195502,
,,,195503,-0.16,0.1,195503,
,,,195504,3.11,0.1,195504,
,,,195505,0.93,0.14,195505,
,,,195506,6.55,0.1,195506,
,,,195507,1.9,0.1,195507,
,,,195508,0.21,0.16,195508,
,,,195509,-0.36,0.16,195509,
,,,195510,-2.68,0.18,195510,
,,,195511,7.03,0.17,195511,
,,,195512,1.49,0.18,195512,
,,,195601,-3.03,0.22,195601,
,,,195602,3.77,0.19,195602,
,,,195603,6.64,0.15,195603,
,,,195604,0.28,0.19,195604,
,,,195605,-5.2,0.23,195605,
,,,195606,3.48,0.2,195606,
,,,195607,4.84,0.22,195607,
,,,195608,-3.18,0.17,195608,
,,,195609,-5.14,0.18,195609,
,,,195610,0.52,0.25,195610,
,,,195611,0.36,0.2,195611,
,,,195612,3.16,0.24,195612,
,,,195701,-3.58,0.27,195701,
,,,195702,-2.06,0.24,195702,
,,,195703,2.13,0.23,195703,
,,,195704,4.26,0.25,195704,
,,,195705,3.45,0.26,195705,
,,,195706,-0.74,0.24,195706,
,,,195707,0.66,0.3,195707,
,,,195708,-5.11,0.25,195708,
,,,195709,-5.98,0.26,195709,
,,,195710,-4.32,0.29,195710,
,,,195711,2.3,0.28,195711,
,,,195712,-3.91,0.24,195712,
,,,195801,4.66,0.28,195801,
,,,195802,-1.52,0.12,195802,
,,,195803,3.27,0.09,195803,
,,,195804,3.09,0.08,195804,
,,,195805,2.31,0.11,195805,
,,,195806,2.93,0.03,195806,
,,,195807,4.39,0.07,195807,
,,,195808,1.91,0.04,195808,
,,,195809,4.66,0.19,195809,
,,,195810,2.53,0.18,195810,
,,,195811,3.01,0.11,195811,
,,,195812,5.15,0.22,195812,
,,,195901,0.71,0.21,195901,
,,,195902,0.95,0.19,195902,
,,,195903,0.28,0.22,195903,
,,,195904,3.66,0.2,195904,
,,,195905,1.73,0.22,195905,
,,,195906,-0.25,0.25,195906,
,,,195907,3.17,0.25,195907,
,,,195908,-1.39,0.19,195908,
,,,195909,-4.8,0.31,195909,
,,,195910,1.28,0.3,195910,
,,,195911,1.6,0.26,195911,
,,,195912,2.45,0.34,195912,
,,,196001,-6.98,0.33,196001,
,,,196002,1.17,0.29,196002,
,,,196003,-1.63,0.35,196003,
,,,196004,-1.71,0.19,196004,
,,,196005,3.12,0.27,196005,
,,,196006,2.08,0.24,196006,
,,,196007,-2.37,0.13,196007,
,,,196008,3.01,0.17,196008,
,,,196009,-5.99,0.16,196009,
,,,196010,-0.71,0.22,196010,
,,,196011,4.69,0.13,196011,
,,,196012,4.71,0.16,196012,
,,,196101,6.2,0.19,196101,
,,,196102,3.57,0.14,196102,
,,,196103,2.89,0.2,196103,
,,,196104,0.29,0.17,196104,
,,,196105,2.4,0.18,196105,
,,,196106,-3.08,0.2,196106,
,,,196107,2.83,0.18,196107,
,,,196108,2.57,0.14,196108,
,,,196109,-2.15,0.17,196109,
,,,196110,2.57,0.19,196110,
,,,196111,4.45,0.15,196111,
,,,196112,-0.18,0.19,196112,
,,,196201,-3.87,0.24,196201,
,,,196202,1.81,0.2,196202,
,,,196203,-0.68,0.2,196203,
,,,196204,-6.59,0.22,196204,
,,,196205,-8.65,0.24,196205,
,,,196206,-8.47,0.2,196206,
,,,196207,6.28,0.27,196207,
,,,196208,2.13,0.23,196208,
,,,196209,-5.22,0.21,196209,
,,,196210,-0.05,0.25,196210,
,,,196211,10.87,0.2,196211,
,,,196212,1.01,0.23,196212,
,,,196301,4.93,0.25,196301,
,,,196302,-2.38,0.23,196302,
,,,196303,3.08,0.23,196303,
,,,196304,4.51,0.25,196304,
,,,196305,1.76,0.24,196305,
,,,196306,-2,0.23,196306,
,,,196307,-0.39,0.27,196307,
,,,196308,5.07,0.25,196308,
,,,196309,-1.57,0.27,196309,
,,,196310,2.53,0.29,196310,
,,,196311,-0.85,0.27,196311,
,,,196312,1.83,0.29,196312,
,,,196401,2.24,0.3,196401,
,,,196402,1.54,0.26,196402,
,,,196403,1.41,0.31,196403,
,,,196404,0.1,0.29,196404,
,,,196405,1.42,0.26,196405,
,,,196406,1.27,0.3,196406,
,,,196407,1.74,0.3,196407,
,,,196408,-1.44,0.28,196408,
,,,196409,2.69,0.28,196409,
,,,196410,0.59,0.29,196410,
,,,196411,0,0.29,196411,
,,,196412,0.03,0.31,196412,
,,,196501,3.54,0.28,196501,
,,,196502,0.44,0.3,196502,
,,,196503,-1.34,0.36,196503,
,,,196504,3.11,0.31,196504,
,,,196505,-0.77,0.31,196505,
,,,196506,-5.51,0.35,196506,
,,,196507,1.43,0.31,196507,
,,,196508,2.73,0.33,196508,
,,,196509,2.86,0.31,196509,
,,,196510,2.6,0.31,196510,
,,,196511,-0.03,0.35,196511,
,,,196512,1.01,0.33,196512,
,,,196601,0.72,0.38,196601,
,,,196602,-1.21,0.35,196602,
,,,196603,-2.51,0.38,196603,
,,,196604,2.14,0.34,196604,
,,,196605,-5.66,0.41,196605,
,,,196606,-1.44,0.38,196606,
,,,196607,-1.63,0.35,196607,
,,,196608,-7.91,0.41,196608,
,,,196609,-1.06,0.4,196609,
,,,196610,3.86,0.45,196610,
,,,196611,1.4,0.4,196611,
,,,196612,0.13,0.4,196612,
,,,196701,8.15,0.43,196701,
,,,196702,0.78,0.36,196702,
,,,196703,3.99,0.39,196703,
,,,196704,3.89,0.32,196704,
,,,196705,-4.33,0.33,196705,
,,,196706,2.41,0.27,196706,
,,,196707,4.58,0.31,196707,
,,,196708,-0.89,0.31,196708,
,,,196709,3.11,0.32,196709,
,,,196710,-3.09,0.39,196710,
,,,196711,0.37,0.36,196711,
,,,196712,3.05,0.33,196712,
,,,196801,-4.06,0.4,196801,
,,,196802,-3.75,0.39,196802,
,,,196803,0.2,0.38,196803,
,,,196804,9.05,0.43,196804,
,,,196805,2.28,0.45,196805,
,,,196806,0.69,0.43,196806,
,,,196807,-2.72,0.48,196807,
,,,196808,1.34,0.42,196808,
,,,196809,4.03,0.43,196809,
,,,196810,0.42,0.44,196810,
,,,196811,5.43,0.42,196811,
,,,196812,-3.94,0.43,196812,
,,,196901,-1.25,0.53,196901,
,,,196902,-5.84,0.46,196902,
,,,196903,2.64,0.46,196903,
,,,196904,1.46,0.53,196904,
,,,196905,-0.1,0.48,196905,
,,,196906,-7.18,0.51,196906,
,,,196907,-7,0.53,196907,
,,,196908,4.68,0.5,196908,
,,,196909,-2.98,0.62,196909,
,,,196910,5.06,0.6,196910,
,,,196911,-3.79,0.52,196911,
,,,196912,-2.63,0.64,196912,
,,,197001,-8.1,0.6,197001,
,,,197002,5.13,0.62,197002,
,,,197003,-1.06,0.57,197003,
,,,197004,-11,0.5,197004,
,,,197005,-6.92,0.53,197005,
,,,197006,-5.79,0.58,197006,
,,,197007,6.93,0.52,197007,
,,,197008,4.49,0.53,197008,
,,,197009,4.18,0.54,197009,
,,,197010,-2.28,0.46,197010,
,,,197011,4.6,0.46,197011,
,,,197012,5.72,0.42,197012,
,,,197101,4.84,0.38,197101,
,,,197102,1.41,0.33,197102,
,,,197103,4.13,0.3,197103,
,,,197104,3.15,0.28,197104,
,,,197105,-3.98,0.29,197105,
,,,197106,-0.1,0.37,197106,
,,,197107,-4.5,0.4,197107,
,,,197108,3.79,0.47,197108,
,,,197109,-0.85,0.37,197109,
,,,197110,-4.42,0.37,197110,
,,,197111,-0.46,0.37,197111,
,,,197112,8.71,0.37,197112,
,,,197201,2.49,0.29,197201,
,,,197202,2.87,0.25,197202,
,,,197203,0.63,0.27,197203,
,,,197204,0.29,0.29,197204,
,,,197205,1.25,0.3,197205,
,,,197206,-2.43,0.29,197206,
,,,197207,-0.8,0.31,197207,
,,,197208,3.26,0.29,197208,
,,,197209,-1.14,0.34,197209,
,,,197210,0.52,0.4,197210,
,,,197211,4.6,0.37,197211,
,,,197212,0.62,0.37,197212,
,,,197301,-3.29,0.44,197301,
,,,197302,-4.85,0.41,197302,
,,,197303,-1.3,0.46,197303,
,,,197304,-5.68,0.52,197304,
,,,197305,-2.94,0.51,197305,
,,,197306,-1.57,0.51,197306,
,,,197307,5.05,0.64,197307,
,,,197308,-3.82,0.7,197308,
,,,197309,4.75,0.68,197309,
,,,197310,-0.83,0.65,197310,
,,,197311,-12.75,0.56,197311,
,,,197312,0.61,0.64,197312,
,,,197401,-0.17,0.63,197401,
,,,197402,-0.47,0.58,197402,
,,,197403,-2.81,0.56,197403,
,,,197404,-5.29,0.75,197404,
,,,197405,-4.68,0.75,197405,
,,,197406,-2.83,0.6,197406,
,,,197407,-8.05,0.7,197407,
,,,197408,-9.35,0.6,197408,
,,,197409,-11.77,0.81,197409,
,,,197410,16.1,0.51,197410,
,,,197411,-4.51,0.54,197411,
,,,197412,-3.45,0.7,197412,
,,,197501,13.66,0.58,197501,
,,,197502,5.56,0.43,197502,
,,,197503,2.66,0.41,197503,
,,,197504,4.23,0.44,197504,
,,,197505,5.19,0.44,197505,
,,,197506,4.83,0.41,197506,
,,,197507,-6.59,0.48,197507,
,,,197508,-2.85,0.48,197508,
,,,197509,-4.26,0.53,197509,
,,,197510,5.31,0.56,197510,
,,,197511,2.64,0.41,197511,
,,,197512,-1.6,0.48,197512,
,,,197601,12.16,0.47,197601,
,,,197602,0.32,0.34,197602,
,,,197603,2.32,0.4,197603,
,,,197604,-1.49,0.42,197604,
,,,197605,-1.34,0.37,197605,
,,,197606,4.05,0.43,197606,
,,,197607,-1.07,0.47,197607,
,,,197608,-0.56,0.42,197608,
,,,197609,2.07,0.44,197609,
,,,197610,-2.42,0.41,197610,
,,,197611,0.36,0.4,197611,
,,,197612,5.65,0.4,197612,
,,,197701,-4.05,0.36,197701,
,,,197702,-1.94,0.35,197702,
,,,197703,-1.37,0.38,197703,
,,,197704,0.15,0.38,197704,
,,,197705,-1.45,0.37,197705,
,,,197706,4.71,0.4,197706,
,,,197707,-1.69,0.42,197707,
,,,197708,-1.75,0.44,197708,
,,,197709,-0.27,0.43,197709,
,,,197710,-4.38,0.49,197710,
,,,197711,4,0.5,197711,
,,,197712,0.27,0.49,197712,
,,,197801,-6.01,0.49,197801,
,,,197802,-1.38,0.46,197802,
,,,197803,2.85,0.53,197803,
,,,197804,7.88,0.54,197804,
,,,197805,1.76,0.51,197805,
,,,197806,-1.69,0.54,197806,
,,,197807,5.11,0.56,197807,
,,,197808,3.75,0.56,197808,
,,,197809,-1.43,0.62,197809,
,,,197810,-11.91,0.68,197810,
,,,197811,2.71,0.7,197811,
,,,197812,0.88,0.78,197812,
,,,197901,4.23,0.77,197901,
,,,197902,-3.56,0.73,197902,
,,,197903,5.68,0.81,197903,
,,,197904,-0.06,0.8,197904,
,,,197905,-2.21,0.82,197905,
,,,197906,3.85,0.81,197906,
,,,197907,0.82,0.77,197907,
,,,197908,5.53,0.77,197908,
,,,197909,-0.82,0.83,197909,
,,,197910,-8.1,0.87,197910,
,,,197911,5.21,0.99,197911,
,,,197912,1.79,0.95,197912,
,,,198001,5.51,0.8,198001,
,,,198002,-1.22,0.89,198002,
,,,198003,-12.9,1.21,198003,
,,,198004,3.97,1.26,198004,
,,,198005,5.26,0.81,198005,
,,,198006,3.06,0.61,198006,
,,,198007,6.49,0.53,198007,
,,,198008,1.8,0.64,198008,
,,,198009,2.19,0.75,198009,
,,,198010,1.06,0.95,198010,
,,,198011,9.59,0.96,198011,
,,,198012,-4.52,1.31,198012,
,,,198101,-5.04,1.04,198101,
,,,198102,0.57,1.07,198102,
,,,198103,3.56,1.21,198103,
,,,198104,-2.11,1.08,198104,
,,,198105,0.11,1.15,198105,
